Slug,Name,Town,Map
jacobs-pond,Jacobs Pond,Norwell,https://www.mass.gov/files/documents/2016/08/wc/dfwjacob.pdf
jamaica-pond,Jamaica Pond,Boston,https://www.mass.gov/files/documents/2018/08/23/Jamaica_pond.pdf
jemima-pond,Jemima Pond,Eastham,https://www.mass.gov/files/documents/2019/03/15/jemimapond.pdf
jenkins-pond,Jenkins Pond,Falmouth,https://www.mass.gov/files/documents/2016/08/tm/dfwjenki.pdf
johns-pond,Johns Pond,Mashpee,https://www.mass.gov/files/documents/2018/02/05/Johns_pond.pdf
johns-pond,Johns Pond,Carver,https://www.mass.gov/files/documents/2016/08/np/dfwjohns.pdf
johnson-pond,Johnson Pond,Raynham,https://www.mass.gov/files/documents/2017/10/17/johnson-pond.pdf
knops-pond,Knops Pond,Groton,https://www.mass.gov/files/documents/2016/08/vc/dfwknopp.pdf
lake-archer,Lake Archer,Wrentham,https://www.mass.gov/files/documents/2016/08/qd/dfwarch.pdf
lake-attitash,Lake Attitash,Amesbury,https://www.mass.gov/files/documents/2018/12/14/Lake_Attitash.pdf
lake-boon,Lake Boon,Stow,https://www.mass.gov/files/documents/2017/12/22/Lake%20Boon.pdf
lake-buel,Lake Buel,Monterey,https://www.mass.gov/files/documents/2016/08/wh/dfwbuel.pdf
lake-chauncy,Lake Chauncy,Westborough,https://www.mass.gov/files/documents/2016/08/uj/dfwchau.pdf
lake-cochituate,Lake Cochituate,Wayland,https://www.mass.gov/files/documents/2018/01/03/Cochituate.pdf
lake-denison,Lake Denison,Winchendon,https://www.mass.gov/files/documents/2016/08/ra/dfwdeni.pdf
lake-gardner,Lake Gardner,Amesbury,https://www.mass.gov/files/documents/2016/08/qd/dfwgard.pdf
lake-garfield,Lake Garfield,Monterey,https://www.mass.gov/files/documents/2018/02/05/Garfield_Lake.pdf
lake-george,Lake George,Wales,https://www.mass.gov/files/documents/2016/08/tm/dfwlake.pdf
lake-lashaway,Lake Lashaway,North Brookfield,https://www.mass.gov/files/documents/2018/12/20/Lake_Lashaway.pdf
lake-lorraine,Lake Lorraine,Springfield,https://www.mass.gov/files/documents/2016/08/uh/dfwfive.pdf
lake-mattawa,Lake Mattawa,Orange,https://www.mass.gov/files/documents/2018/02/01/Mattawa.pdf
lake-monomomonac,Lake Monomomonac,Winchendon,https://www.mass.gov/files/documents/2016/08/np/dfwmonom.pdf
lake-nippenicket,Lake Nippenicket,Bridgewater,https://www.mass.gov/doc/nippenicket-lake/download
lake-pearl,Lake Pearl,Wrentham,https://www.mass.gov/files/documents/2018/12/20/Lake_Pearl.pdf
lake-pentucket,Lake Pentucket,Haverhill,https://www.mass.gov/files/documents/2019/02/14/pentuckethaverhill.pdf
lake-quannnapowitt,Lake Quannnapowitt,Wakefield,https://www.mass.gov/files/documents/2016/08/tm/dfwquann.pdf
lake-quinsigamond,Lake Quinsigamond,Shrewsbury,https://www.mass.gov/files/documents/2018/03/06/quinsigamond.pdf
lake-ripple,Lake Ripple,Grafton,https://www.mass.gov/files/documents/2018/01/18/Ripple.pdf
lake-rohunta,Lake Rohunta,Athol,https://www.mass.gov/doc/rohunta-lake/download
lake-sabbathia,Lake Sabbathia,Taunton,https://www.mass.gov/files/documents/2018/01/18/Sabbatia.pdf
lake-saltonstall,Lake Saltonstall,Haverhill,https://www.mass.gov/files/documents/2019/02/04/lakesaltonstall.pdf
lake-warner,Lake Warner,Hadley,https://www.mass.gov/files/documents/2018/11/27/Lake_Warner.pdf
